ID,Nombre_Tarea,Categoria_Principal,Subcategoria,Indoor_Outdoor,Tiempo_Estimado_Minutos,Requiere_Ubicacion,API_Categoria,Descripcion
1,Hacer una ruta arquitectónica,Aventura y Exploración,Exploración Urbana,Outdoor,90,True,,Disfruta de Hacer una ruta arquitectónica al aire libre dentro de la categoría de Aventura y Exploración
2,Hacer una excursión nocturna en kayak,Actividades Acuáticas,Kayak,Outdoor,30,True,,Disfruta de Hacer una excursión nocturna en kayak al aire libre dentro de la categoría de Actividades Acuáticas
3,Hacer kayak en el lago,Actividades Acuáticas,Kayak,Outdoor,180,True,,Disfruta de Hacer kayak en el lago al aire libre dentro de la categoría de Actividades Acuáticas
4,Cultivar verduras de temporada en el jardín botánico,Jardinería y Agricultura,Huerto Urbano,Outdoor,60,True,,Disfruta de Cultivar verduras de temporada en el jardín botánico al aire libre dentro de la categoría de Jardinería y Agricultura
5,Participar en una competición local de surf,Actividades Acuáticas,Surf,Outdoor,120,True,,Disfruta de Participar en una competición local de surf al aire libre dentro de la categoría de Actividades Acuáticas
6,Practicar natación de larga distancia en la playa,Actividades Acuáticas,Natación,Outdoor,60,True,,Disfruta de Practicar natación de larga distancia en la playa al aire libre dentro de la categoría de Actividades Acuáticas
7,Participar en la poda de árboles urbanos,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,240,True,,Disfruta de Participar en la poda de árboles urbanos al aire libre dentro de la categoría de Jardinería y Agricultura
8,Explorar un sendero nuevo en el parque local,Deportes al Aire Libre,Senderismo,Outdoor,120,True,,Disfruta de Explorar un sendero nuevo en el parque local al aire libre dentro de la categoría de Deportes al Aire Libre
9,Participar en un torneo local de fútbol,Deportes de Equipo,Fútbol,Outdoor,30,True,,Disfruta de Participar en un torneo local de fútbol al aire libre dentro de la categoría de Deportes de Equipo
10,Participar en una sesión de surf guiada,Actividades Acuáticas,Surf,Outdoor,120,True,,Disfruta de Participar en una sesión de surf guiada al aire libre dentro de la categoría de Actividades Acuáticas
11,Hacer voluntariado en jardinería en el centro histórico,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,180,True,,Disfruta de Hacer voluntariado en jardinería en el centro histórico al aire libre dentro de la categoría de Jardinería y Agricultura
12,Participar en un curso de iniciación a la escalada,Deportes al Aire Libre,Escalada,Outdoor,240,True,,Disfruta de Participar en un curso de iniciación a la escalada al aire libre dentro de la categoría de Deportes al Aire Libre
13,Hacer escalada deportiva en el lago,Deportes al Aire Libre,Escalada,Outdoor,120,True,,Disfruta de Hacer escalada deportiva en el lago al aire libre dentro de la categoría de Deportes al Aire Libre
14,Pintar escenas urbanas en la montaña,Arte al Aire Libre,Pintura,Outdoor,240,True,,Disfruta de Pintar escenas urbanas en la montaña al aire libre dentro de la categoría de Arte al Aire Libre
15,Hacer una ruta de geocaching por la reserva natural,Aventura y Exploración,Geocaching,Outdoor,240,True,,Disfruta de Hacer una ruta de geocaching por la reserva natural al aire libre dentro de la categoría de Aventura y Exploración
16,Hacer una acampada familiar en el parque local,Aventura y Exploración,Campamento,Outdoor,90,True,,Disfruta de Hacer una acampada familiar en el parque local al aire libre dentro de la categoría de Aventura y Exploración
17,Hacer camping junto al la montaña,Aventura y Exploración,Campamento,Outdoor,120,True,,Disfruta de Hacer camping junto al la montaña al aire libre dentro de la categoría de Aventura y Exploración
18,Hacer camping en el parque forestal,Aventura y Exploración,Campamento,Outdoor,30,True,,Disfruta de Hacer camping en el parque forestal al aire libre dentro de la categoría de Aventura y Exploración
19,Explorar nuevas ubicaciones de geocaching,Aventura y Exploración,Geocaching,Outdoor,180,True,,Disfruta de Explorar nuevas ubicaciones de geocaching al aire libre dentro de la categoría de Aventura y Exploración
20,Hacer fotos de naturaleza en el lago,Arte al Aire Libre,Fotografía,Outdoor,180,True,,Disfruta de Hacer fotos de naturaleza en el lago al aire libre dentro de la categoría de Arte al Aire Libre
21,Hacer una ruta panorámica en bicicleta por el lago,Deportes al Aire Libre,Ciclismo,Outdoor,90,True,,Disfruta de Hacer una ruta panorámica en bicicleta por el lago al aire libre dentro de la categoría de Deportes al Aire Libre
22,Hacer mantenimiento de parques públicos,Jardinería y Agricultura,Jardinería Comunitaria,Outdoor,120,True,,Disfruta de Hacer mantenimiento de parques públicos al aire libre dentro de la categoría de Jardinería y Agricultura
23,Participar en una búsqueda del tesoro urbana,Aventura y Exploración,Exploración Urbana,Outdoor,120,True,,Disfruta de Participar en una búsqueda del tesoro urbana al aire libre dentro de la categoría de Aventura y Exploración
24,Participar en una carrera local de 30 km,Deportes al Aire Libre,Running,Outdoor,30,True,,Disfruta de Participar en una carrera local de 30 km al aire libre dentro de la categoría de Deportes al Aire Libre
25,Hacer una caminata por el valle,Deportes al Aire Libre,Senderismo,Outdoor,90,True,,Disfruta de Hacer una caminata por el valle al aire libre dentro de la categoría de Deportes al Aire Libre
26,Jugar fútbol playa en la reserva natural,Deportes de Equipo,Fútbol,Outdoor,120,True,,Disfruta de Jugar fútbol playa en la reserva natural al aire libre dentro de la categoría de Deportes de Equipo
27,Hacer una ruta de cicloturismo por el centro histórico,Deportes al Aire Libre,Ciclismo,Outdoor,240,True,,Disfruta de Hacer una ruta de cicloturismo por el centro histórico al aire libre dentro de la categoría de Deportes al Aire Libre
28,Participar en un taller de agricultura urbana,Jardinería y Agricultura,Huerto Urbano,Outdoor,60,True,,Disfruta de Participar en un taller de agricultura urbana al aire libre dentro de la categoría de Jardinería y Agricultura
29,Acampar en el valle,Aventura y Exploración,Campamento,Outdoor,180,True,,Disfruta de Acampar en el valle al aire libre dentro de la categoría de Aventura y Exploración
30,Hacer fotos nocturnas en la playa,Arte al Aire Libre,Fotografía,Outdoor,180,True,,Disfruta de Hacer fotos nocturnas en la playa al aire libre dentro de la categoría de Arte al Aire Libre
31,Hacer ciclismo de carretera en el camino histórico,Deportes al Aire Libre,Ciclismo,Outdoor,180,True,,Disfruta de Hacer ciclismo de carretera en el camino histórico al aire libre dentro de la categoría de Deportes al Aire Libre
32,Organizar un torneo de voleibol playa,Deportes de Equipo,Voleibol,Outdoor,30,True,,Disfruta de Organizar un torneo de voleibol playa al aire libre dentro de la categoría de Deportes de Equipo
33,Practicar técnicas de escalada en el bosque,Deportes al Aire Libre,Escalada,Outdoor,30,True,,Disfruta de Practicar técnicas de escalada en el bosque al aire libre dentro de la categoría de Deportes al Aire Libre
34,Explorar un sendero nuevo en el valle,Deportes al Aire Libre,Senderismo,Outdoor,180,True,,Disfruta de Explorar un sendero nuevo en el valle al aire libre dentro de la categoría de Deportes al Aire Libre
35,Hacer fotos de naturaleza en la playa,Arte al Aire Libre,Fotografía,Outdoor,180,True,,Disfruta de Hacer fotos de naturaleza en la playa al aire libre dentro de la categoría de Arte al Aire Libre
36,Hacer kayak en la playa,Actividades Acuáticas,Kayak,Outdoor,240,True,,Disfruta de Hacer kayak en la playa al aire libre dentro de la categoría de Actividades Acuáticas
37,Participar en un evento CITO de geocaching,Aventura y Exploración,Geocaching,Outdoor,180,True,,Disfruta de Participar en un evento CITO de geocaching al aire libre dentro de la categoría de Aventura y Exploración
38,Participar en una excursión guiada por la playa,Deportes al Aire Libre,Senderismo,Outdoor,240,True,,Disfruta de Participar en una excursión guiada por la playa al aire libre dentro de la categoría de Deportes al Aire Libre
39,Hacer fotos de naturaleza en el jardín botánico,Arte al Aire Libre,Fotografía,Outdoor,120,True,,Disfruta de Hacer fotos de naturaleza en el jardín botánico al aire libre dentro de la categoría de Arte al Aire Libre
40,Fotografiar el amanecer en la sierra,Arte al Aire Libre,Fotografía,Outdoor,60,True,,Disfruta de Fotografiar el amanecer en la sierra al aire libre dentro de la categoría de Arte al Aire Libre
41,Organizar una exposición fotográfica callejera,Arte al Aire Libre,Fotografía,Outdoor,120,True,,Disfruta de Organizar una exposición fotográfica callejera al aire libre dentro de la categoría de Arte al Aire Libre
42,Practicar boulder en la reserva natural,Deportes al Aire Libre,Escalada,Outdoor,90,True,,Disfruta de Practicar boulder en la reserva natural al aire libre dentro de la categoría de Deportes al Aire Libre
43,Practicar surf en la cala escondida,Actividades Acuáticas,Surf,Outdoor,90,True,,Disfruta de Practicar surf en la cala escondida al aire libre dentro de la categoría de Actividades Acuáticas
44,Acampar en el bosque,Aventura y Exploración,Campamento,Outdoor,180,True,,Disfruta de Acampar en el bosque al aire libre dentro de la categoría de Aventura y Exploración
45,Fotografiar el amanecer en la reserva natural,Arte al Aire Libre,Fotografía,Outdoor,60,True,,Disfruta de Fotografiar el amanecer en la reserva natural al aire libre dentro de la categoría de Arte al Aire Libre
46,Participar en una liga de voleibol playa,Deportes de Equipo,Voleibol,Outdoor,90,True,,Disfruta de Participar en una liga de voleibol playa al aire libre dentro de la categoría de Deportes de Equipo
47,Organizar una caminata fotográfica,Arte al Aire Libre,Fotografía,Outdoor,90,True,,Disfruta de Organizar una caminata fotográfica al aire libre dentro de la categoría de Arte al Aire Libre
48,Organizar una jornada de siembra comunitaria,Jardinería y Agricultura,Huerto Urbano,Outdoor,90,True,,Disfruta de Organizar una jornada de siembra comunitaria al aire libre dentro de la categoría de Jardinería y Agricultura
49,Hacer entrenamiento de intervalos en la reserva natural,Deportes al Aire Libre,Running,Outdoor,120,True,,Disfruta de Hacer entrenamiento de intervalos en la reserva natural al aire libre dentro de la categoría de Deportes al Aire Libre
50,Hacer entrenamiento de fútbol en el lago,Deportes de Equipo,Fútbol,Outdoor,120,True,,Disfruta de Hacer entrenamiento de fútbol en el lago al aire libre dentro de la categoría de Deportes de Equipo
51,Hacer ejercicios técnicos de voleibol en el bosque,Deportes de Equipo,Voleibol,Outdoor,180,True,,Disfruta de Hacer ejercicios técnicos de voleibol en el bosque al aire libre dentro de la categoría de Deportes de Equipo
