ID,Nombre_Tarea,Categoria_Principal,Subcategoria,Indoor_Outdoor,Temp_Min,Temp_Max,Tiempo_Estimado_Minutos,Requiere_Ubicacion,API_Categoria,Descripcion
1,Drama contemporáneo,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Drama contemporáneo dentro de la categoría de Cultura
2,Partido amistoso de baloncesto,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Partido amistoso de baloncesto dentro de la categoría de Deporte
3,Entrenamiento HIIT de 75 minutos,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento HIIT de 75 minutos dentro de la categoría de Deporte
4,Taller interactivo en museo local,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Taller interactivo en museo local dentro de la categoría de Cultura
5,Práctica de técnicas de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de técnicas de balonmano dentro de la categoría de Deporte
6,Práctica de técnicas de tenis,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Práctica de técnicas de tenis dentro de la categoría de Deporte
7,Recorrido temático por galería de arte,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Recorrido temático por galería de arte dentro de la categoría de Cultura
8,Masterclass de ramen,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Masterclass de ramen dentro de la categoría de Gastronomía
9,Improvisación teatral,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Improvisación teatral dentro de la categoría de Cultura
10,Práctica de técnicas de baloncesto,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Práctica de técnicas de baloncesto dentro de la categoría de Deporte
11,Clase de aeróbics experimental,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Clase de aeróbics experimental dentro de la categoría de Deporte
12,Clase de sushi tradicional,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Clase de sushi tradicional dentro de la categoría de Gastronomía
13,TRX profesional,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante TRX profesional dentro de la categoría de Deporte
14,Comedia en vivo,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Comedia en vivo dentro de la categoría de Cultura
15,Clase de iniciación a ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Clase de iniciación a ping-pong dentro de la categoría de Deporte
16,Visita al museo de naturaleza,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Visita al museo de naturaleza dentro de la categoría de Cultura
17,Entrenamiento de pádel para medio,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento de pádel para medio dentro de la categoría de Deporte
18,Práctica de técnicas de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de técnicas de voleibol dentro de la categoría de Deporte
19,Exhibición especial de ciencias naturales,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Exhibición especial de ciencias naturales dentro de la categoría de Cultura
20,Performance artística,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Performance artística dentro de la categoría de Cultura
21,Cena temática japonesa,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Cena temática japonesa dentro de la categoría de Gastronomía
22,Clase de empanadas tradicional,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Clase de empanadas tradicional dentro de la categoría de Gastronomía
23,Masterclass de empanadas,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Masterclass de empanadas dentro de la categoría de Gastronomía
24,Sesión táctica de tenis,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Sesión táctica de tenis dentro de la categoría de Deporte
25,Visita al museo de ciencia,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita al museo de ciencia dentro de la categoría de Cultura
26,TRX avanzado,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante TRX avanzado dentro de la categoría de Deporte
27,Exhibición especial de arte moderno,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Exhibición especial de arte moderno dentro de la categoría de Cultura
28,Visita virtual al museo Cultural,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Visita virtual al museo Cultural dentro de la categoría de Cultura
29,Masterclass de ceviche,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Masterclass de ceviche dentro de la categoría de Gastronomía
30,Teatro experimental urbano,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Teatro experimental urbano dentro de la categoría de Cultura
31,Entrenamiento funcional maestro,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento funcional maestro dentro de la categoría de Deporte
32,Teatro experimental experimental,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Teatro experimental experimental dentro de la categoría de Cultura
33,Partido de fútbol en pista al aire libre,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Partido de fútbol en pista al aire libre dentro de la categoría de Deporte
34,Obra de teatro romántico,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Obra de teatro romántico dentro de la categoría de Cultura
35,Entrenamiento de balonmano para intermedio,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Entrenamiento de balonmano para intermedio dentro de la categoría de Deporte
36,Torneo informal de hockey,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Torneo informal de hockey dentro de la categoría de Deporte
37,Mini torneo de hockey,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Mini torneo de hockey dentro de la categoría de Deporte
38,Recorrido temático por museo de la ciencia,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Recorrido temático por museo de la ciencia dentro de la categoría de Cultura
39,Sesión de cardio media,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio media dentro de la categoría de Deporte
40,Experiencia gastronómica tailandesa,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Experiencia gastronómica tailandesa dentro de la categoría de Gastronomía
41,Torneo informal de balonmano,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Torneo informal de balonmano dentro de la categoría de Deporte
42,Sesión táctica de pádel,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Sesión táctica de pádel dentro de la categoría de Deporte
43,Clase de iniciación a rugby,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Clase de iniciación a rugby dentro de la categoría de Deporte
44,Juego en equipo de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Juego en equipo de voleibol dentro de la categoría de Deporte
45,Monólogo de psicológica,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Monólogo de psicológica dentro de la categoría de Cultura
46,Obra de teatro drama,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Obra de teatro drama dentro de la categoría de Cultura
